crime_id,crime_type,criminal_name,crime_time,place_of_crime,jail_entry_date,bail_granted,duration_of_imprisonment,co_criminals,motive,latitude,longitude,date_of_crime
1,Drug Possession,,18:23:00,Purasawalkam,2018-12-15,Yes,1 year,,Political,8.743375373970697,78.1936597085484,
2,Kidnapping,Amit Joshi,03:55:00,Mylapore,2017-05-10,Yes,10 years,,Self-Defense,8.757639481632319,78.17952616068662,10/04/2017
3,Theft,Nikita Sinha,22:10:00,T. Nagar,2021-05-01,No,3 years,Deepak Choudhary,Revenge,8.715005136241656,78.13244036825549,01/04/2021
4,Fraud,Anita Sharma,20:30:00,Adyar,2015-01-09,No,1 year,Anita Sharma,Financial Gain,8.728907594228257,78.10548078892437,10/12/2014
5,Drug Possession,Nikita Sinha,17:11:00,Royapettah,2023-09-11,Yes,5 years,Suresh Iyer,Revenge,8.74461352113654,78.1746250551474,02/03/2021
6,Theft,Suresh Iyer,10:41:00,Mylapore,2024-04-11,Yes,2 years,Deepak Choudhary,Personal Feud,8.753830263902598,78.13461194026644,12/03/2024
7,Kidnapping,Nikita Sinha,23:26:00,Velachery,2022-06-15,No,10 years,Mohan Verma,Self-Defense,8.7350815300134,78.10972900217764,31/01/2021
8,Theft,Rajesh Kumar,13:41:00,Royapettah,2020-06-21,No,1 year,Mohan Verma,Accidental,8.703703431527654,78.12177861010063,22/05/2020
9,Theft,Pooja Mehta,04:34:00,T. Nagar,2017-07-28,No,1 year,-,Revenge,8.723332790269371,78.10962794399465,28/06/2017
10,Theft,Nikita Sinha,06:39:00,Adyar,2020-08-17,Yes,6 months,Mohan Verma,Personal Feud,8.796030894686107,78.19094986884886,01/01/2021
11,Fraud,Vikram Rao,12:21:00,Purasawalkam,2021-12-10,Yes,,Deepak Choudhary,Political,8.792547232515748,78.12950731008229,10/11/2021
12,Theft,,21:47:00,Purasawalkam,2020-11-18,Yes,,,Revenge,8.777455216573602,78.18776140527297,
13,Kidnapping,Suresh Iyer,21:22:00,T. Nagar,2015-10-07,Yes,,,Political,8.715402560609231,78.18955771649178,11/02/2024
14,Murder,Pooja Mehta,03:57:00,Adyar,2020-08-19,Yes,10 years,-,Self-Defense,8.746405489278926,78.14252934330004,29/05/2017
15,Theft,Deepak Choudhary,13:18:00,Purasawalkam,2024-07-14,No,10 years,Anita Sharma,Accidental,8.706647247703991,78.10010838697087,14/06/2024
16,Kidnapping,Amit Joshi,19:53:00,Kodambakkam,2017-03-21,Yes,6 months,Mohan Verma,Political,8.747952561657927,78.15375437434646,11/03/2017
17,Assault,Rajesh Kumar,12:34:00,,2019-06-12,Yes,3 years,Mohan Verma,Self-Defense,8.712067441293932,78.15731769791094,22/04/2020
18,Theft,Vikram Rao,00:34:00,Royapettah,2019-09-11,No,10 years,Deepak Choudhary,,8.780272986400293,78.19470612080133,11/10/2021
19,Cyber Crime,Rajesh Kumar,10:02:00,Anna Nagar,2023-04-13,No,1 year,Anita Sharma,Financial Gain,8.771020069276734,78.14916943701425,23/03/2020
20,Theft,Deepak Choudhary,06:33:00,Royapettah,2020-07-08,No,,Mohan Verma,Accidental,8.781209279642763,78.13953774406791,15/05/2024
21,Kidnapping,Deepak Choudhary,23:37:00,Mylapore,2024-08-15,Yes,1 year,Anita Sharma,Accidental,8.769595750787802,78.12801064290065,15/04/2024
22,Kidnapping,Mohan Verma,11:51:00,Kodambakkam,2020-11-09,Yes,5 years,Mohan Verma,Financial Gain,8.769292516363748,78.17263395803971,10/10/2020
23,,Nikita Sinha,13:44:00,Velachery,2024-04-05,Yes,1 year,Mohan Verma,Accidental,8.70301187317695,78.10306660672754,02/12/2020
24,Fraud,Mohan Verma,00:59:00,Anna Nagar,2021-11-17,No,10 years,,Financial Gain,8.720908587212817,78.19505171846876,10/09/2020
25,Murder,Pooja Mehta,12:40:00,T. Nagar,2018-03-27,Yes,2 years,Mohan Verma,Revenge,8.751273429694782,78.10908145675761,29/04/2017
26,,Suresh Iyer,01:46:00,Royapettah,2023-09-01,No,2 years,Deepak Choudhary,Political,8.75379060846976,78.14622637959623,12/01/2024
27,Cyber Crime,,18:06:00,Purasawalkam,2023-05-16,Yes,3 years,Mohan Verma,Accidental,8.765375913072486,78.1573416763006,
28,Cyber Crime,Amit Joshi,12:12:00,Adyar,2015-10-27,Yes,3 years,Mohan Verma,Political,8.74046608116259,78.12180028049708,09/02/2017
29,Drug Possession,Rajesh Kumar,20:07:00,Anna Nagar,2017-05-10,Yes,,-,Accidental,8.733828632431996,78.120401839298,22/02/2020
30,Murder,Rajesh Kumar,23:07:00,Mylapore,2019-02-20,No,3 years,-,Self-Defense,8.78273113281778,78.16928388113351,23/01/2020
31,Kidnapping,Rajesh Kumar,21:24:00,Royapettah,2016-09-13,No,1 year,-,Accidental,8.747442068213106,78.11023607924578,24/12/2019
32,Murder,Deepak Choudhary,22:05:00,Purasawalkam,2023-10-28,No,10 years,,Personal Feud,8.711139893739345,78.10430021606797,16/03/2024
33,Drug Possession,Pooja Mehta,19:28:00,Kodambakkam,2024-01-06,Yes,1 year,,Accidental,8.774910980325421,78.1473489910671,30/03/2017
34,Fraud,Anita Sharma,05:23:00,,2022-03-02,No,,,Political,8.720323347070753,78.10516639725593,10/11/2014
35,Fraud,Pooja Mehta,22:57:00,Anna Nagar,2015-05-28,Yes,3 years,-,Accidental,8.713079822639425,78.1996867770826,28/02/2017
36,Murder,Nikita Sinha,00:19:00,Velachery,2024-12-27,No,1 year,-,Self-Defense,8.728041818081827,78.12965404793454,02/11/2020
37,,,13:31:00,T. Nagar,2024-01-06,No,10 years,Suresh Iyer,Revenge,8.739788100268973,78.14160137004548,
38,Kidnapping,,20:51:00,Adyar,2022-06-13,Yes,2 years,,Personal Feud,8.774197289550436,78.1769786656775,
39,Murder,Nikita Sinha,19:13:00,Velachery,2020-10-08,No,6 months,,Financial Gain,8.799538256545073,78.15906130072963,03/10/2020
40,Assault,Rajesh Kumar,09:17:00,T. Nagar,2018-04-01,Yes,5 years,Deepak Choudhary,Political,8.775713337420466,78.10435886247605,24/11/2019
41,Fraud,Mohan Verma,04:23:00,T. Nagar,2023-04-16,Yes,1 year,Anita Sharma,,8.712149642879861,78.17769321402858,11/08/2020
42,Assault,Ramesh Gupta,23:26:00,Mylapore,2021-12-08,No,6 months,Anita Sharma,Financial Gain,8.760481803864595,78.179300271694,08/11/2021
43,Theft,Rajesh Kumar,19:57:00,Mylapore,2023-03-04,No,,Deepak Choudhary,Accidental,8.753602524679497,78.10032065050258,25/10/2019
44,Murder,Rajesh Kumar,06:45:00,Kodambakkam,2023-04-22,No,5 years,Anita Sharma,Financial Gain,8.717225828842325,78.19677772783832,25/09/2019
45,Kidnapping,Suresh Iyer,11:37:00,T. Nagar,2020-08-10,Yes,5 years,Suresh Iyer,Self-Defense,8.757856089504463,78.1856137053816,13/12/2023
46,Theft,Deepak Choudhary,14:33:00,Adyar,2024-04-09,Yes,6 months,Mohan Verma,Personal Feud,8.796832613813688,78.16836374413391,15/02/2024
47,Theft,Ramesh Gupta,19:39:00,Kodambakkam,2016-03-08,Yes,,Suresh Iyer,Self-Defense,8.701073601201463,78.15586577805212,09/10/2021
48,Murder,Amit Joshi,10:42:00,Velachery,2018-10-25,Yes,3 years,,,8.733929107277259,78.1881732892995,10/01/2017
49,Theft,Pooja Mehta,18:09:00,T. Nagar,2019-08-08,No,3 years,Suresh Iyer,Self-Defense,8.72589481871666,78.1964546988365,29/01/2017
